site_date_key,site_number,sample_date,sample_trip,water_depth,temperature,salinity,lat,lon,notes,extra bags
ee2267a82405038c,81,2024-05-15T15:24:00Z,2405,12.5,26.7,21.6,29.13587933,-90.17568467,,
73bdd62a24051268,18,2024-05-21T11:42:00Z,2405,24.5,27.1,22.8,29.12285417,-90.1770185,,
79f3b3d7240502e8,21,2024-05-21T12:44:00Z,2405,23.5,26.6,21,29.13170683,-90.167413,,
8cd55052240514c0,54,2024-05-21T13:09:00Z,2405,18,26.4,20.6,29.13317333,-90.1660425,,
8e85cd9424051426,59,2024-05-21T13:51:00Z,2405,24.5,26.2,20.1,29.12979167,-90.16293283,,
f56bedcb2405240b,85,2024-05-21T13:53:00Z,2405,25.5,27.5,21.3,29.13253517,-90.16105033,,
6fc25f3c240500d8,120,2024-05-21T14:41:00Z,2405,22.5,28,21.1,29.14647733,-90.16664517,,
0fd277982405030f,117,2024-05-21T15:12:00Z,2405,22.5,28.7,21.7,29.14240183,-90.16529183,,
9e898f92240502b0,51,2024-05-21T16:00:00Z,2405,25,28,19.7,29.13883083,-90.162243,,
986a8b0524050b9d,119,2024-05-21T16:29:00Z,2405,13,29.3,21.9,29.1367445,-90.15799633,,
2436a508240518e2,104,2024-05-21T17:22:00Z,2405,16.5,29.2,21.5,29.14084717,-90.16985083,,
4119c20924051ec6,113,2024-05-21T17:46:00Z,2405,12,29.2,21.4,29.13930133,-90.17384567,,
9de4a48024050a0a,60,2024-05-21T18:16:00Z,2405,10.5,30,21,29.14335583,-90.17135533,,
8956551924051dac,33,2024-05-21T18:40:00Z,2405,18,30.1,20.9,29.14337983,-90.17133283,,
d2a96f0124050e4b,15,2024-05-22T13:10:00Z,2405,30,27.3,22.4,29.16028683,-90.2287345,,
